Favorite Count,Author,Link to Author,Cartridge Title,Link to Cart
157,freds72,https://www.lexaloffle.com/bbs/?uid=25532,X-Wing vs. Tie Fighter: Attack on the Deathstar,https://www.lexaloffle.com/bbs/?tid=31443
156,hcnt,https://www.lexaloffle.com/bbs/?uid=9541,Pico Monsters,https://www.lexaloffle.com/bbs/?tid=4046
156,J-Fry,https://www.lexaloffle.com/bbs/?uid=11158,Hyperspace 1.1.1,https://www.lexaloffle.com/bbs/?tid=2688
154,Peteksi,https://www.lexaloffle.com/bbs/?uid=52505,To a Starling,https://www.lexaloffle.com/bbs/?tid=45958
153,NuSan,https://www.lexaloffle.com/bbs/?uid=11048,Alone in Pico,https://www.lexaloffle.com/bbs/?tid=3792
153,bridgs,https://www.lexaloffle.com/bbs/?uid=16414,8 Legs to Love,https://www.lexaloffle.com/bbs/?tid=29451
153,impbox,https://www.lexaloffle.com/bbs/?uid=10242,Tempest,https://www.lexaloffle.com/bbs/?tid=2186
151,benjamin_soule,https://www.lexaloffle.com/bbs/?uid=9308,Rainmaker,https://www.lexaloffle.com/bbs/?tid=2806
150,kittenm4ster,https://www.lexaloffle.com/bbs/?uid=9551,Alfonzo's Bowling Challenge,https://www.lexaloffle.com/bbs/?tid=34959
149,Yolwoocle,https://www.lexaloffle.com/bbs/?uid=47064,Pico Dino - Chrome's T-rex game reimagined,https://www.lexaloffle.com/bbs/?tid=40759
148,kittenm4ster,https://www.lexaloffle.com/bbs/?uid=9551,Feed The Ducks,https://www.lexaloffle.com/bbs/?tid=29353
147,oinariman,https://www.lexaloffle.com/bbs/?uid=9547,Shodo,https://www.lexaloffle.com/bbs/?tid=2033
147,Liquidream,https://www.lexaloffle.com/bbs/?uid=13822,Low Mem Sky,https://www.lexaloffle.com/bbs/?tid=32724
146,benjamin_soule,https://www.lexaloffle.com/bbs/?uid=9308,underworld siege (LD33),https://www.lexaloffle.com/bbs/?tid=2319
146,kometbomb,https://www.lexaloffle.com/bbs/?uid=12489,Pico Racer,https://www.lexaloffle.com/bbs/?tid=3198
145,paranoidcactus,https://www.lexaloffle.com/bbs/?uid=29414,Shadows of Dunwich 2.0,https://www.lexaloffle.com/bbs/?tid=34047
143,kometbomb,https://www.lexaloffle.com/bbs/?uid=12489,Spaceman 8,https://www.lexaloffle.com/bbs/?tid=28485
142,electricgryphon,https://www.lexaloffle.com/bbs/?uid=10844,Gryphon 3D Engine Library,https://www.lexaloffle.com/bbs/?tid=28077
142,benjamin_soule,https://www.lexaloffle.com/bbs/?uid=9308,#MiBJam - Stray Shot,https://www.lexaloffle.com/bbs/?tid=1923
141,vladcom,https://www.lexaloffle.com/bbs/?uid=41294,Night Ride,https://www.lexaloffle.com/bbs/?tid=39650
141,benjamin_soule,https://www.lexaloffle.com/bbs/?uid=9308,Across The River,https://www.lexaloffle.com/bbs/?tid=2010
140,morningtoast,https://www.lexaloffle.com/bbs/?uid=12806,Invader Overload,https://www.lexaloffle.com/bbs/?tid=4004
137,johanp,https://www.lexaloffle.com/bbs/?uid=15227,Delunky - Endless Descent,https://www.lexaloffle.com/bbs/?tid=31862
136,GiantLNT,https://www.lexaloffle.com/bbs/?uid=25629,Pico Snail!: Dream Castle,https://www.lexaloffle.com/bbs/?tid=39897
136,benjamin_soule,https://www.lexaloffle.com/bbs/?uid=9308,pigments,https://www.lexaloffle.com/bbs/?tid=40490
135,Spaz48,https://www.lexaloffle.com/bbs/?uid=33914,Tetyis (Tetris clone),https://www.lexaloffle.com/bbs/?tid=36749
133,Krystman,https://www.lexaloffle.com/bbs/?uid=16423,Breakout Hero,https://www.lexaloffle.com/bbs/?tid=31484
133,krajzeg,https://www.lexaloffle.com/bbs/?uid=12861,SlipWays,https://www.lexaloffle.com/bbs/?tid=30978
132,dhostin,https://www.lexaloffle.com/bbs/?uid=28327,Brutal Pico Race,https://www.lexaloffle.com/bbs/?tid=31490
131,noppa,https://www.lexaloffle.com/bbs/?uid=25216,Shelled Shinobi,https://www.lexaloffle.com/bbs/?tid=38573
131,johanp,https://www.lexaloffle.com/bbs/?uid=15227,Alpine Alpaca,https://www.lexaloffle.com/bbs/?tid=32304
131,lucatron,https://www.lexaloffle.com/bbs/?uid=10152,Starjump,https://www.lexaloffle.com/bbs/?tid=41874
131,partnano,https://www.lexaloffle.com/bbs/?uid=42001,Villager,https://www.lexaloffle.com/bbs/?tid=38905
131,FlytrapStudios,https://www.lexaloffle.com/bbs/?uid=27242,MetroCUBEvania,https://www.lexaloffle.com/bbs/?tid=30643
130,Sascha217,https://www.lexaloffle.com/bbs/?uid=22842,Super Mario Bros.,https://www.lexaloffle.com/bbs/?tid=28942
128,hackefuffel,https://www.lexaloffle.com/bbs/?uid=9792,Puzzle Cave - Raiders Of The Lost Potato,https://www.lexaloffle.com/bbs/?tid=2039
127,Mot,https://www.lexaloffle.com/bbs/?uid=39676,Trial of the Sorcerer,https://www.lexaloffle.com/bbs/?tid=43833
127,guerragames,https://www.lexaloffle.com/bbs/?uid=12812,pinballvania!,https://www.lexaloffle.com/bbs/?tid=33832
126,BoneVolt,https://www.lexaloffle.com/bbs/?uid=38130,Scrap Boy,https://www.lexaloffle.com/bbs/?tid=39800
125,PAK9,https://www.lexaloffle.com/bbs/?uid=62934,Pico World Race 1.2,https://www.lexaloffle.com/bbs/?tid=46495
124,joeyspacerocks,https://www.lexaloffle.com/bbs/?uid=15119,They Started It,https://www.lexaloffle.com/bbs/?tid=4088
123,Retsyn,https://www.lexaloffle.com/bbs/?uid=10830,Super Poulet Poulet,https://www.lexaloffle.com/bbs/?tid=2393
122,benjamin_soule,https://www.lexaloffle.com/bbs/?uid=9308,U-turn,https://www.lexaloffle.com/bbs/?tid=29223
122,electricgryphon,https://www.lexaloffle.com/bbs/?uid=10844,PicoVox,https://www.lexaloffle.com/bbs/?tid=42321
122,Powersaurus,https://www.lexaloffle.com/bbs/?uid=12213,Cab Ride,https://www.lexaloffle.com/bbs/?tid=41332
121,Liquidream,https://www.lexaloffle.com/bbs/?uid=13822,Portal - Still Alive,https://www.lexaloffle.com/bbs/?tid=29846
121,Mot,https://www.lexaloffle.com/bbs/?uid=39676,Mot's 8-Ball Pool,https://www.lexaloffle.com/bbs/?tid=39859
121,DragonXVI,https://www.lexaloffle.com/bbs/?uid=13966,Solais (LD46 Compo),https://www.lexaloffle.com/bbs/?tid=37458
121,TheRoboZ,https://www.lexaloffle.com/bbs/?uid=32989,Masters of the Universe,https://www.lexaloffle.com/bbs/?tid=39310
120,Farbs,https://www.lexaloffle.com/bbs/?uid=31740,Super Disc Box,https://www.lexaloffle.com/bbs/?tid=40111
119,paloblancogames,https://www.lexaloffle.com/bbs/?uid=14827,Hungry Harry 3D,https://www.lexaloffle.com/bbs/?tid=32397
119,gabrielcrowe,https://www.lexaloffle.com/bbs/?uid=11343,PicoBreed,https://www.lexaloffle.com/bbs/?tid=29347
118,ivy,https://www.lexaloffle.com/bbs/?uid=50112,GRiPPY,https://www.lexaloffle.com/bbs/?tid=41299
117,paranoidcactus,https://www.lexaloffle.com/bbs/?uid=29414,Tomb of G'Nir,https://www.lexaloffle.com/bbs/?tid=31258
117,benjamin_soule,https://www.lexaloffle.com/bbs/?uid=9308,The Merciless Deep,https://www.lexaloffle.com/bbs/?tid=36914
117,mhughson,https://www.lexaloffle.com/bbs/?uid=15406,Witch n' Wiz,https://www.lexaloffle.com/bbs/?tid=28944
117,johanp,https://www.lexaloffle.com/bbs/?uid=15227,Golf Sunday,https://www.lexaloffle.com/bbs/?tid=44343
116,scgrn,https://www.lexaloffle.com/bbs/?uid=12238,Hydra,https://www.lexaloffle.com/bbs/?tid=3191
116,benjamin_soule,https://www.lexaloffle.com/bbs/?uid=9308,Little Architect,https://www.lexaloffle.com/bbs/?tid=35416
116,Parlor,https://www.lexaloffle.com/bbs/?uid=11224,The Stroll,https://www.lexaloffle.com/bbs/?tid=2606
116,arlefreak,https://www.lexaloffle.com/bbs/?uid=21440,The Lost Night Release,https://www.lexaloffle.com/bbs/?tid=41791
116,Mush,https://www.lexaloffle.com/bbs/?uid=30435,Quest for the Book of Truth,https://www.lexaloffle.com/bbs/?tid=32727
116,UrbanMonk,https://www.lexaloffle.com/bbs/?uid=9905,Pico-Man,https://www.lexaloffle.com/bbs/?tid=2098
116,benjamin_soule,https://www.lexaloffle.com/bbs/?uid=9308,#MiBJam - Mr.Beam,https://www.lexaloffle.com/bbs/?tid=1941
115,Insanus,https://www.lexaloffle.com/bbs/?uid=27629,GET OUT of this Dungeon,https://www.lexaloffle.com/bbs/?tid=31538
115,chowyunbrent,https://www.lexaloffle.com/bbs/?uid=12197,willo,https://www.lexaloffle.com/bbs/?tid=40014
114,Gruber,https://www.lexaloffle.com/bbs/?uid=11292,Pico-8 Tunes Vol. 2,https://www.lexaloffle.com/bbs/?tid=33675
113,Jusiv,https://www.lexaloffle.com/bbs/?uid=24585,Winterwood,https://www.lexaloffle.com/bbs/?tid=40927
113,TRASEVOL_DOG,https://www.lexaloffle.com/bbs/?uid=11047,One Room Dungeon ~ Post-Jam-Updated,https://www.lexaloffle.com/bbs/?tid=28202
113,benjamin_soule,https://www.lexaloffle.com/bbs/?uid=9308,Hybris,https://www.lexaloffle.com/bbs/?tid=2897
113,lucatron,https://www.lexaloffle.com/bbs/?uid=10152,Marballs,https://www.lexaloffle.com/bbs/?tid=2254
112,krajzeg,https://www.lexaloffle.com/bbs/?uid=12861,A Billion Pale Dots 1.0,https://www.lexaloffle.com/bbs/?tid=29798
111,carlc27843,https://www.lexaloffle.com/bbs/?uid=23375,Impossible Mission R.T.,https://www.lexaloffle.com/bbs/?tid=41991
111,arlefreak,https://www.lexaloffle.com/bbs/?uid=21440,Pullfrog,https://www.lexaloffle.com/bbs/?tid=38636
111,kometbomb,https://www.lexaloffle.com/bbs/?uid=12489,MICRO MURDER: But It's Robots So It's OK,https://www.lexaloffle.com/bbs/?tid=29175
110,TRASEVOL_DOG,https://www.lexaloffle.com/bbs/?uid=11047,Gar's Den,https://www.lexaloffle.com/bbs/?tid=29006
110,freds72,https://www.lexaloffle.com/bbs/?uid=25532,Nuklear Klone,https://www.lexaloffle.com/bbs/?tid=30652
110,jeb,https://www.lexaloffle.com/bbs/?uid=32,Picopolis,https://www.lexaloffle.com/bbs/?tid=29590
108,4mat,https://www.lexaloffle.com/bbs/?uid=13891,Ad Astra,https://www.lexaloffle.com/bbs/?tid=4050
108,biovoid,https://www.lexaloffle.com/bbs/?uid=18117,Harold's Bad Day,https://www.lexaloffle.com/bbs/?tid=45507
107,lucatron,https://www.lexaloffle.com/bbs/?uid=10152,neon,https://www.lexaloffle.com/bbs/?tid=37278
107,stevelavietes,https://www.lexaloffle.com/bbs/?uid=11765,Pico de Pon,https://www.lexaloffle.com/bbs/?tid=37280
106,zatyka,https://www.lexaloffle.com/bbs/?uid=10312,Earth Was a Bad Choice,https://www.lexaloffle.com/bbs/?tid=3013
106,krajzeg,https://www.lexaloffle.com/bbs/?uid=12861,Pieces of Cake,https://www.lexaloffle.com/bbs/?tid=32327
105,eggnog,https://www.lexaloffle.com/bbs/?uid=22245,A Hat on Time,https://www.lexaloffle.com/bbs/?tid=31736
105,TheRoboZ,https://www.lexaloffle.com/bbs/?uid=32989,R-Type,https://www.lexaloffle.com/bbs/?tid=44842
104,matthias,https://www.lexaloffle.com/bbs/?uid=30188,Upward,https://www.lexaloffle.com/bbs/?tid=31416
104,BoneVolt,https://www.lexaloffle.com/bbs/?uid=38130,Crowded Dungeon Crawler,https://www.lexaloffle.com/bbs/?tid=39865
103,CarlosPedroso,https://www.lexaloffle.com/bbs/?uid=21271,"Slimey, Jump!",https://www.lexaloffle.com/bbs/?tid=34532
102,Mot,https://www.lexaloffle.com/bbs/?uid=39676,Ramps,https://www.lexaloffle.com/bbs/?tid=38221
102,st33d,https://www.lexaloffle.com/bbs/?uid=38689,pakpok,https://www.lexaloffle.com/bbs/?tid=35326
